Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-06-01,ABBOTINDIA,EQ,1016.55,1005.25,1088.4,1005.25,1035.0,1044.65,1032.07,9929.0,1024740020000.0,,4948.0,0.4983
2010-06-02,ABBOTINDIA,EQ,1044.65,1035.0,1055.0,1020.0,1037.0,1028.45,1030.68,9244.0,952763665000.0,,7151.0,0.7736000000000001
2010-06-03,ABBOTINDIA,EQ,1028.45,1067.5,1067.5,1025.0,1030.0,1030.5,1035.99,2432.0,251953515000.0,,1134.0,0.4663
2010-06-04,ABBOTINDIA,EQ,1030.5,1030.0,1078.4,1022.05,1056.0,1056.45,1058.08,10236.0,1083049740000.0,,2592.0,0.2532
2010-06-07,ABBOTINDIA,EQ,1056.45,1049.0,1090.0,1036.2,1075.7,1081.2,1070.65,8649.0,926004855000.0,,2352.0,0.2719
2010-06-08,ABBOTINDIA,EQ,1081.2,1085.0,1211.85,1070.25,1136.6,1142.95,1161.47,87690.0,10184926550000.0,,9729.0,0.1109
2010-06-09,ABBOTINDIA,EQ,1142.95,1145.1,1188.0,1132.0,1158.0,1161.65,1164.0,25348.0,2950496440000.0,,3397.0,0.134
2010-06-10,ABBOTINDIA,EQ,1161.65,1140.05,1180.0,1140.05,1144.0,1147.05,1161.93,7809.0,907348080000.0,,2475.0,0.3169
2010-06-11,ABBOTINDIA,EQ,1147.05,1159.0,1167.95,1140.0,1145.3,1146.7,1152.0,5610.0,646272195000.0,,2498.0,0.4453
2010-06-14,ABBOTINDIA,EQ,1146.7,1085.0,1164.95,1085.0,1126.5,1130.15,1136.61,5914.0,672193870000.0,,2952.0,0.4992
2010-06-15,ABBOTINDIA,EQ,1130.15,1131.2,1184.0,1118.0,1149.95,1151.7,1156.55,17990.0,2080639020000.0,,8769.0,0.4874000000000001
2010-06-16,ABBOTINDIA,EQ,1151.7,1158.0,1165.0,1115.0,1155.0,1136.05,1141.76,7372.0,841705415000.0,,3402.0,0.4615
2010-06-17,ABBOTINDIA,EQ,1136.05,1144.95,1149.8,1118.05,1129.0,1126.15,1132.74,3506.0,397140210000.0,,2010.0,0.5733
2010-06-18,ABBOTINDIA,EQ,1126.15,1140.0,1140.85,1116.15,1120.0,1120.05,1130.53,3177.0,359168710000.0,,1848.0,0.5817
2010-06-21,ABBOTINDIA,EQ,1120.05,1121.1,1143.55,1097.9,1129.9,1109.45,1114.22,15853.0,1766377645000.0,,12058.0,0.7606
2010-06-22,ABBOTINDIA,EQ,1109.45,1125.0,1130.0,1105.0,1120.0,1120.2,1117.57,3360.0,375502120000.0,,1926.0,0.5732
2010-06-23,ABBOTINDIA,EQ,1120.2,1118.0,1139.9,1096.0,1118.0,1125.1,1123.93,4360.0,490035090000.0001,,1319.0,0.3025
2010-06-24,ABBOTINDIA,EQ,1125.1,1119.2,1139.0,1110.0,1114.3,1117.25,1124.47,2621.0,294724240000.0,,868.0,0.3312
2010-06-25,ABBOTINDIA,EQ,1117.25,1105.0,1128.9,1082.55,1084.2,1092.75,1107.95,5076.0,562396690000.0,,2609.0,0.514
2010-06-28,ABBOTINDIA,EQ,1092.75,1090.0,1181.0,1090.0,1106.0,1107.65,1110.95,3474.0,385943925000.0,,1034.0,0.2976
2010-06-29,ABBOTINDIA,EQ,1107.65,1049.85,1175.0,1049.85,1156.5,1156.75,1155.45,29543.0,3413541825000.0,,10194.0,0.3451
2010-06-30,ABBOTINDIA,EQ,1156.75,1165.0,1165.0,1123.0,1148.0,1130.9,1132.86,9874.0,1118585990000.0,,6104.0,0.6182
2010-07-01,ABBOTINDIA,EQ,1130.9,1155.0,1156.0,1111.0,1115.0,1118.15,1124.68,8111.0,912227600000.0,,5799.0,0.715
2010-07-02,ABBOTINDIA,EQ,1118.15,1129.95,1178.0,1120.0,1178.0,1157.85,1147.81,8072.0,926512210000.0,,4754.0,0.5889
2010-07-05,ABBOTINDIA,EQ,1157.85,1141.6,1198.0,1141.6,1187.1,1187.5,1183.23,8950.0,1058987775000.0,,3959.0,0.4423
2010-07-06,ABBOTINDIA,EQ,1187.5,1170.25,1266.2,1170.25,1240.0,1241.45,1228.65,24248.0,2979238850000.0,,10318.0,0.4255
2010-07-07,ABBOTINDIA,EQ,1241.45,1201.0,1268.7,1192.35,1216.6,1224.95,1236.2,15976.0,1974949165000.0,,5437.0,0.3403
2010-07-08,ABBOTINDIA,EQ,1224.95,1249.95,1261.9,1221.0,1222.0,1226.45,1240.27,6810.0,844623035000.0,,2184.0,0.3207
2010-07-09,ABBOTINDIA,EQ,1226.45,1236.0,1243.8,1222.05,1225.05,1227.3,1230.11,4827.0,593773920000.0,,1414.0,0.2929
2010-07-12,ABBOTINDIA,EQ,1227.3,1239.9,1254.0,1214.0,1244.5,1243.7,1230.24,5030.0,618809305000.0,,2824.0,0.5614
2010-07-13,ABBOTINDIA,EQ,1243.7,1244.2,1255.0,1234.0,1241.0,1237.9,1244.36,3682.0,458174675000.0,,1500.0,0.4074
2010-07-14,ABBOTINDIA,EQ,1237.9,1243.0,1249.9,1225.35,1239.9,1237.15,1235.39,2585.0,319347365000.0,,1245.0,0.4816
